REFSS,CODE COULEUR,REF,VISIBILITE,EAN,DESIGNATION BASE,DESIGNATION,MARQUE,FOURNISSEUR,ASSOC / CAT,SOUS CAT,COULEUR 1,COULEUR 2,TAILLE,GENRE,MATIERE,PERSONNALISATION,DETAIL PERSONNALISATION,PV TTC ,FLEX,TTC FLEX,PV HT,LIVRAISON
704938-704932-06,02,704938-704932-06,both,4063699217230,Maillot team rise,Maillot team rise,Puma,Puma,Entraînement,Maillot Manches courtes,Bleu,Noir,XS,Homme,100% Polyester,Logo ,Logo INCLUS ,23,14,37,"21,35561746",Livraison sous 20 jours ouvrés
704938-704932-06,02,704938-704932-06,both,4063699217247,Maillot team rise,Maillot team rise,Puma,Puma,Entraînement,Maillot Manches courtes,Bleu,Noir,S,Homme,100% Polyester,Logo ,Logo INCLUS ,23,14,37,"21,35561746",Livraison sous 20 jours ouvrés
704938-704932-06,02,704938-704932-06,both,4063699217254,Maillot team rise,Maillot team rise,Puma,Puma,Entraînement,Maillot Manches courtes,Bleu,Noir,M,Homme,100% Polyester,Logo ,Logo INCLUS ,23,14,37,"21,35561746",Livraison sous 20 jours ouvrés
704938-704932-06,02,704938-704932-06,both,4063699217261,Maillot team rise,Maillot team rise,Puma,Puma,Entraînement,Maillot Manches courtes,Bleu,Noir,L,Homme,100% Polyester,Logo ,Logo INCLUS ,23,14,37,"21,35561746",Livraison sous 20 jours ouvrés
704938-704932-06,02,704938-704932-06,both,4063699217278,Maillot team rise,Maillot team rise,Puma,Puma,Entraînement,Maillot Manches courtes,Bleu,Noir,XL,Homme,100% Polyester,Logo ,Logo INCLUS ,23,14,37,"21,35561746",Livraison sous 20 jours ouvrés
704938-704932-06,02,704938-704932-06,both,4063699217285,Maillot team rise,Maillot team rise,Puma,Puma,Entraînement,Maillot Manches courtes,Bleu,Noir,XXL,Homme,100% Polyester,Logo ,Logo INCLUS ,23,14,37,"21,35561746",Livraison sous 20 jours ouvrés
704938-704932-06,02,704938-704932-06,both,4063699217292,Maillot team rise,Maillot team rise,Puma,Puma,Entraînement,Maillot Manches courtes,Bleu,Noir,3XL,Homme,100% Polyester,Logo ,Logo INCLUS ,23,14,37,"21,35561746",Livraison sous 20 jours ouvrés
704938-704932-06,02,704938-704932-06,both,4063699212235,Maillot team rise,Maillot team rise,Puma,Puma,Entraînement,Maillot Manches courtes,Bleu,Noir,6 ans / 116 cm,Enfant,100% Polyester,Logo ,Logo INCLUS ,20,14,34,"18,57010214",Livraison sous 20 jours ouvrés
704938-704932-06,02,704938-704932-06,both,4063699212242,Maillot team rise,Maillot team rise,Puma,Puma,Entraînement,Maillot Manches courtes,Bleu,Noir,8 ans / 128 cm,Enfant,100% Polyester,Logo ,Logo INCLUS ,20,14,34,"18,57010214",Livraison sous 20 jours ouvrés
704938-704932-06,02,704938-704932-06,both,4063699212259,Maillot team rise,Maillot team rise,Puma,Puma,Entraînement,Maillot Manches courtes,Bleu,Noir,10 ans / 140 cm,Enfant,100% Polyester,Logo ,Logo INCLUS ,20,14,34,"18,57010214",Livraison sous 20 jours ouvrés
704938-704932-06,02,704938-704932-06,both,4063699212266,Maillot team rise,Maillot team rise,Puma,Puma,Entraînement,Maillot Manches courtes,Bleu,Noir,12 ans / 152 cm,Enfant,100% Polyester,Logo ,Logo INCLUS ,20,14,34,"18,57010214",Livraison sous 20 jours ouvrés
704938-704932-06,02,704938-704932-06,both,4063699212273,Maillot team rise,Maillot team rise,Puma,Puma,Entraînement,Maillot Manches courtes,Bleu,Noir,14 ans / 164 cm,Enfant,100% Polyester,Logo ,Logo INCLUS ,20,14,34,"18,57010214",Livraison sous 20 jours ouvrés
657237-657236-02,02,657237-657236-02,both,4063699455472,Sweat team liga 1/4 zip,Sweat team liga 1/4 zip,Puma,Puma,Entraînement,Sweat col 1/4 zip,Bleu,Noir,6 ans / 116 cm,Enfant,100% Polyester Recyclé,Logo ,Logo INCLUS ,"50,00","5,00","55,00","46,42525534",Livraison sous 20 jours ouvrés
657237-657236-02,02,657237-657236-02,both,4063699455489,Sweat team liga 1/4 zip,Sweat team liga 1/4 zip,Puma,Puma,Entraînement,Sweat col 1/4 zip,Bleu,Noir,8 ans / 128 cm,Enfant,100% Polyester Recyclé,Logo ,Logo INCLUS ,"50,00","5,00","55,00","46,42525534",Livraison sous 20 jours ouvrés
657237-657236-02,02,657237-657236-02,both,4063699455496,Sweat team liga 1/4 zip,Sweat team liga 1/4 zip,Puma,Puma,Entraînement,Sweat col 1/4 zip,Bleu,Noir,10 ans / 140 cm,Enfant,100% Polyester Recyclé,Logo ,Logo INCLUS ,"50,00","5,00","55,00","46,42525534",Livraison sous 20 jours ouvrés
657237-657236-02,02,657237-657236-02,both,4063699455502,Sweat team liga 1/4 zip,Sweat team liga 1/4 zip,Puma,Puma,Entraînement,Sweat col 1/4 zip,Bleu,Noir,12 ans / 152 cm,Enfant,100% Polyester Recyclé,Logo ,Logo INCLUS ,"50,00","5,00","55,00","46,42525534",Livraison sous 20 jours ouvrés
657237-657236-02,02,657237-657236-02,both,4063699455519,Sweat team liga 1/4 zip,Sweat team liga 1/4 zip,Puma,Puma,Entraînement,Sweat col 1/4 zip,Bleu,Noir,14 ans / 164 cm,Enfant,100% Polyester Recyclé,Logo ,Logo INCLUS ,"50,00","5,00","55,00","46,42525534",Livraison sous 20 jours ouvrés
657237-657236-02,02,657237-657236-02,both,4063699456127,Sweat team liga 1/4 zip,Sweat team liga 1/4 zip,Puma,Puma,Entraînement,Sweat col 1/4 zip,Bleu,Noir,XS,Homme,100% Polyester Recyclé,Logo ,Logo INCLUS ,"55,00","5,00","60,00","51,06778087",Livraison sous 20 jours ouvrés
657237-657236-02,02,657237-657236-02,both,4063699456134,Sweat team liga 1/4 zip,Sweat team liga 1/4 zip,Puma,Puma,Entraînement,Sweat col 1/4 zip,Bleu,Noir,S,Homme,100% Polyester Recyclé,Logo ,Logo INCLUS ,"55,00","5,00","60,00","51,06778087",Livraison sous 20 jours ouvrés
657237-657236-02,02,657237-657236-02,both,4063699456141,Sweat team liga 1/4 zip,Sweat team liga 1/4 zip,Puma,Puma,Entraînement,Sweat col 1/4 zip,Bleu,Noir,M,Homme,100% Polyester Recyclé,Logo ,Logo INCLUS ,"55,00","5,00","60,00","51,06778087",Livraison sous 20 jours ouvrés
657237-657236-02,02,657237-657236-02,both,4063699456158,Sweat team liga 1/4 zip,Sweat team liga 1/4 zip,Puma,Puma,Entraînement,Sweat col 1/4 zip,Bleu,Noir,L,Homme,100% Polyester Recyclé,Logo ,Logo INCLUS ,"55,00","5,00","60,00","51,06778087",Livraison sous 20 jours ouvrés
657237-657236-02,02,657237-657236-02,both,4063699456165,Sweat team liga 1/4 zip,Sweat team liga 1/4 zip,Puma,Puma,Entraînement,Sweat col 1/4 zip,Bleu,Noir,XL,Homme,100% Polyester Recyclé,Logo ,Logo INCLUS ,"55,00","5,00","60,00","51,06778087",Livraison sous 20 jours ouvrés
657237-657236-02,02,657237-657236-02,both,4063699456172,Sweat team liga 1/4 zip,Sweat team liga 1/4 zip,Puma,Puma,Entraînement,Sweat col 1/4 zip,Bleu,Noir,XXL,Homme,100% Polyester Recyclé,Logo ,Logo INCLUS ,"55,00","5,00","60,00","51,06778087",Livraison sous 20 jours ouvrés
657237-657236-02,02,657237-657236-02,both,4063699456189,Sweat team liga 1/4 zip,Sweat team liga 1/4 zip,Puma,Puma,Entraînement,Sweat col 1/4 zip,Bleu,Noir,3XL,Homme,100% Polyester Recyclé,Logo ,Logo INCLUS ,"55,00","5,00","60,00","51,06778087",Livraison sous 20 jours ouvrés
657243-657242-02,03,657243-657242-02,both,4063697063617,Pantalon team liga,Pantalon team liga,Puma,Puma,Sortie,Pantalon survêtement,Noir,Blanc,6 ans / 116 cm,Enfant,100% Polyester Recyclé,Initiales,Initiale EN OPTION,"45,00","0,00","45,00","41,78272981",Livraison sous 20 jours ouvrés
657243-657242-02,03,657243-657242-02,both,4063697063624,Pantalon team liga,Pantalon team liga,Puma,Puma,Sortie,Pantalon survêtement,Noir,Blanc,8 ans / 128 cm,Enfant,100% Polyester Recyclé,Initiales,Initiale EN OPTION,"45,00","0,00","45,00","41,78272981",Livraison sous 20 jours ouvrés
657243-657242-02,03,657243-657242-02,both,4063697063631,Pantalon team liga,Pantalon team liga,Puma,Puma,Sortie,Pantalon survêtement,Noir,Blanc,10 ans / 140 cm,Enfant,100% Polyester Recyclé,Initiales,Initiale EN OPTION,"45,00","0,00","45,00","41,78272981",Livraison sous 20 jours ouvrés
657243-657242-02,03,657243-657242-02,both,4063697063648,Pantalon team liga,Pantalon team liga,Puma,Puma,Sortie,Pantalon survêtement,Noir,Blanc,12 ans / 152 cm,Enfant,100% Polyester Recyclé,Initiales,Initiale EN OPTION,"45,00","0,00","45,00","41,78272981",Livraison sous 20 jours ouvrés
657243-657242-02,03,657243-657242-02,both,4063697063655,Pantalon team liga,Pantalon team liga,Puma,Puma,Sortie,Pantalon survêtement,Noir,Blanc,14 ans / 164 cm,Enfant,100% Polyester Recyclé,Initiales,Initiale EN OPTION,"45,00","0,00","45,00","41,78272981",Livraison sous 20 jours ouvrés
657243-657242-02,03,657243-657242-02,both,4063697209183,Pantalon team liga,Pantalon team liga,Puma,Puma,Sortie,Pantalon survêtement,Noir,Blanc,XS,Homme,100% Polyester Recyclé,Initiales,Initiale EN OPTION,"50,00","0,00","50,00","46,42525534",Livraison sous 20 jours ouvrés
657243-657242-02,03,657243-657242-02,both,4063697209190,Pantalon team liga,Pantalon team liga,Puma,Puma,Sortie,Pantalon survêtement,Noir,Blanc,S,Homme,100% Polyester Recyclé,Initiales,Initiale EN OPTION,"50,00","0,00","50,00","46,42525534",Livraison sous 20 jours ouvrés
657243-657242-02,03,657243-657242-02,both,4063697209206,Pantalon team liga,Pantalon team liga,Puma,Puma,Sortie,Pantalon survêtement,Noir,Blanc,M,Homme,100% Polyester Recyclé,Initiales,Initiale EN OPTION,"50,00","0,00","50,00","46,42525534",Livraison sous 20 jours ouvrés
657243-657242-02,03,657243-657242-02,both,4063697209213,Pantalon team liga,Pantalon team liga,Puma,Puma,Sortie,Pantalon survêtement,Noir,Blanc,L,Homme,100% Polyester Recyclé,Initiales,Initiale EN OPTION,"50,00","0,00","50,00","46,42525534",Livraison sous 20 jours ouvrés
657243-657242-02,03,657243-657242-02,both,4063697209220,Pantalon team liga,Pantalon team liga,Puma,Puma,Sortie,Pantalon survêtement,Noir,Blanc,XL,Homme,100% Polyester Recyclé,Initiales,Initiale EN OPTION,"50,00","0,00","50,00","46,42525534",Livraison sous 20 jours ouvrés
657243-657242-02,03,657243-657242-02,both,4063697209237,Pantalon team liga,Pantalon team liga,Puma,Puma,Sortie,Pantalon survêtement,Noir,Blanc,XXL,Homme,100% Polyester Recyclé,Initiales,Initiale EN OPTION,"50,00","0,00","50,00","46,42525534",Livraison sous 20 jours ouvrés
657243-657242-02,03,657243-657242-02,both,4063697209244,Pantalon team liga,Pantalon team liga,Puma,Puma,Sortie,Pantalon survêtement,Noir,Blanc,3XL,Homme,100% Polyester Recyclé,Initiales,Initiale EN OPTION,"50,00","0,00","50,00","46,42525534",Livraison sous 20 jours ouvrés
704943-704942-04,04,704943-704942-04,both,4063699213553,Short team rise,Short team rise,Puma,Puma,Entraînement,Short,NOIR ,Blanc,M,Homme,100% Polyester,Initiales,Initiale EN OPTION,20,"0,00",20,"18,57010214",Livraison sous 20 jours ouvrés
704943-704942-04,04,704943-704942-04,both,4063699213560,Short team rise,Short team rise,Puma,Puma,Entraînement,Short,NOIR ,Blanc,L,Homme,100% Polyester,Initiales,Initiale EN OPTION,20,"0,00",20,"18,57010214",Livraison sous 20 jours ouvrés
704943-704942-04,04,704943-704942-04,both,4063699213577,Short team rise,Short team rise,Puma,Puma,Entraînement,Short,NOIR ,Blanc,XL,Homme,100% Polyester,Initiales,Initiale EN OPTION,20,"0,00",20,"18,57010214",Livraison sous 20 jours ouvrés
704943-704942-04,04,704943-704942-04,both,4063699213584,Short team rise,Short team rise,Puma,Puma,Entraînement,Short,NOIR ,Blanc,XXL,Homme,100% Polyester,Initiales,Initiale EN OPTION,20,"0,00",20,"18,57010214",Livraison sous 20 jours ouvrés
704943-704942-04,04,704943-704942-04,both,4063699213591,Short team rise,Short team rise,Puma,Puma,Entraînement,Short,NOIR ,Blanc,3XL,Homme,100% Polyester,Initiales,Initiale EN OPTION,20,"0,00",20,"18,57010214",Livraison sous 20 jours ouvrés
704943-704942-04,04,704943-704942-04,both,4063699211306,Short team rise,Short team rise,Puma,Puma,Entraînement,Short,Noir,Blanc,6 ans / 116 cm,Enfant,100% Polyester,Initiales,Initiale EN OPTION,17,"0,00",17,"15,78458682",Livraison sous 20 jours ouvrés
704943-704942-04,04,704943-704942-04,both,4063699211313,Short team rise,Short team rise,Puma,Puma,Entraînement,Short,Noir,Blanc,8 ans / 128 cm,Enfant,100% Polyester,Initiales,Initiale EN OPTION,17,"0,00",17,"15,78458682",Livraison sous 20 jours ouvrés
704943-704942-04,04,704943-704942-04,both,4063699211320,Short team rise,Short team rise,Puma,Puma,Entraînement,Short,Noir,Blanc,10 ans / 140 cm,Enfant,100% Polyester,Initiales,Initiale EN OPTION,17,"0,00",17,"15,78458682",Livraison sous 20 jours ouvrés
704943-704942-04,04,704943-704942-04,both,4063699211337,Short team rise,Short team rise,Puma,Puma,Entraînement,Short,Noir,Blanc,12 ans / 152 cm,Enfant,100% Polyester,Initiales,Initiale EN OPTION,17,"0,00",17,"15,78458682",Livraison sous 20 jours ouvrés
704943-704942-04,04,704943-704942-04,both,4063699211344,Short team rise,Short team rise,Puma,Puma,Entraînement,Short,Noir,Blanc,14 ans / 164 cm,Enfant,100% Polyester,Initiales,Initiale EN OPTION,17,"0,00",17,"15,78458682",Livraison sous 20 jours ouvrés
 657235-657234-02,02, 657235-657234-02,both,4063699456059,Veste team liga,Veste team liga,Puma,Puma,Sortie,Veste survêtement,Bleu,Noir,XS,Homme,100% Polyester Recyclé,Logo ,Logo INCLUS ,"60,00","14,00","74,00","55,71030641",Livraison sous 20 jours ouvrés
 657235-657234-02,02, 657235-657234-02,both,4063699456066,Veste team liga,Veste team liga,Puma,Puma,Sortie,Veste survêtement,Bleu,Noir,S,Homme,100% Polyester Recyclé,Logo ,Logo INCLUS ,"60,00","14,00","74,00","55,71030641",Livraison sous 20 jours ouvrés
 657235-657234-02,02, 657235-657234-02,both,4063699456073,Veste team liga,Veste team liga,Puma,Puma,Sortie,Veste survêtement,Bleu,Noir,M,Homme,100% Polyester Recyclé,Logo ,Logo INCLUS ,"60,00","14,00","74,00","55,71030641",Livraison sous 20 jours ouvrés
 657235-657234-02,02, 657235-657234-02,both,4063699456080,Veste team liga,Veste team liga,Puma,Puma,Sortie,Veste survêtement,Bleu,Noir,L,Homme,100% Polyester Recyclé,Logo ,Logo INCLUS ,"60,00","14,00","74,00","55,71030641",Livraison sous 20 jours ouvrés
 657235-657234-02,02, 657235-657234-02,both,4063699456097,Veste team liga,Veste team liga,Puma,Puma,Sortie,Veste survêtement,Bleu,Noir,XL,Homme,100% Polyester Recyclé,Logo ,Logo INCLUS ,"60,00","14,00","74,00","55,71030641",Livraison sous 20 jours ouvrés
